week,Griep,Mexicaanse_griep,Zoogdieren,Koorts,Hart-_en_vaatziekten,RNA-polymerase,Ziekte_van_Parkinson,Hersenen,Middellandse_Zeegebied,BacteriÃ«n
2018-42,-0.22553028366981856,-0.12731876701582762,-0.19143410668441566,-0.26333198105059286,-0.08870192307692311,-0.07795438000485316,-0.20144579551796052,-0.07570315147407657,-0.21634615384615385,-0.5463348488966864
2018-43,-0.24853053922821364,-0.14411540768769324,-0.259419273557098,-0.30212068469128694,-0.18036858974358977,-0.15050958505217177,0.4461296149440479,-0.2668925787868519,-0.4703144078144078,-0.5463348488966864
2018-44,-0.24929721441349348,-0.15011420792764527,-0.23037106589331552,-0.24904140602507396,-0.11370192307692312,-0.03379034214996357,-0.16135415748817813,-0.17261945103354792,-0.25602869352869356,-0.5463348488966864
2018-45,-0.24648607206746742,-0.14051612754372203,-0.2470583341257012,-0.2844275918025493,-0.03870192307692311,-0.05902693520990048,-0.12011704408611629,-0.05279566248729243,-0.25602869352869356,-0.5463348488966864
2018-46,-0.262586250958344,-0.13451732730377003,-0.13024745649900157,-0.27558104535818045,0.002964743589743553,-0.11265469546226642,-0.20679134725526482,-0.10918332768553031,-0.15285409035409037,-0.5463348488966864
2018-47,-0.23166368515205724,-0.14111600756771725,-0.20812137491680133,-0.26231122569162724,0.1487980769230769,0.2848216452317399,-0.2258826034599231,0.0476448661470688,-0.2480921855921856,-0.5463348488966864
2018-48,-0.23038589317659086,-0.016340962576715443,-0.1667122278216221,-0.2640124846232366,0.17796474358974354,-0.05271778694491625,-0.22397347783945726,-0.11446967129786512,-0.16475885225885228,-0.5463348488966864
2018-49,-0.23243036033733708,-0.1159210465599188,-0.2730163069316344,-0.2388338524354176,-0.07620192307692311,0.02299199223489447,-0.2190097512262461,-0.07658420874279903,-0.2123778998778999,-0.5463348488966864
2018-50,-0.20738563761819576,-0.113521526463938,-0.1969965294285442,-0.2469998953071427,0.20713141025641021,0.23434845911186608,-0.23504640643815905,-0.12239918671636732,-0.25602869352869356,-0.5463348488966864
2018-51,-0.26054178379759774,-0.13511720732776522,-0.45904844537415607,-0.26979676499070854,-0.00536858974358978,0.03876486289735504,-0.2606286897524011,-0.304778041341918,-0.20444139194139196,-0.5463348488966864
2018-52,-0.29785330948121647,-0.12251972682386601,-0.567206665398878,-0.32525780616117467,-0.38870192307692314,-0.23883766076195095,-0.39617660880547484,-0.5276855303287021,-0.4980921855921856,-0.5463348488966864
2019-01,-0.18898543317147967,-0.10092404596003877,-0.09687292003423024,-0.18099104876069833,0.24046474358974354,0.13340208687211844,-0.17242708608687995,-0.04662826160623516,0.013812576312576295,-0.5463348488966864
2019-02,-0.17825198057756197,-0.0505341239444419,-0.0962548730626604,-0.173505509461617,0.29046474358974356,0.287976219364232,-0.13729917467030872,-0.05103354794984749,-0.10126678876678878,-0.5463348488966864
2019-03,-0.0946843853820598,0.2554046882931106,-0.0758593230008557,-0.12008597900908213,0.17796474358974354,-0.06849065760737683,-0.22282800246717777,-0.015791257200948816,-0.19650488400488403,-0.5463348488966864
2019-04,-0.008050089445438283,0.15522472428591202,-0.013436578872301933,-0.10341364147931009,0.052964743589743554,-0.03379034214996357,-0.14379020177989255,-0.024601829888173485,-0.15285409035409037,-0.5463348488966864
2019-05,-0.03871709685663174,0.3051947302847123,-0.18525363696871727,-0.0690482110608004,0.2946314102564102,-0.27984712448434845,-0.13577187417393607,-0.01755337173839375,-0.24015567765567766,-0.5463348488966864
2019-06,0.00038333759263991824,0.16002376447787364,-0.209357468859941,-0.11634320935954147,0.09046474358974356,-0.23568308662945883,-0.19533659353246985,-0.013148085394781414,-0.2838064713064713,-0.5463348488966864
2019-07,-0.0039611551239458215,0.09163744174242074,-0.09872706094893975,-0.05475763603528152,0.34046474358974355,-0.18520990050958502,-0.10217126325373752,0.08729244323957983,-0.21634615384615385,-0.5463348488966864
2019-08,-0.02619473549706108,0.013053158599049404,-0.25138466292669004,-0.060882168189075325,0.10296474358974356,-0.1820553263770929,-0.16822700972185511,-0.07129786513046424,-0.2480921855921856,-0.5463348488966864
2019-09,-0.03565039611551239,0.03164943934290063,0.011903346962061478,-0.06836770748815664,0.13213141025641023,-0.21360106770201404,-0.17433621170734576,0.022094205354117265,-0.16475885225885228,-0.5463348488966864
2019-10,-0.08931765908510095,0.04064763970282865,0.005104830274793246,-0.10205263433402259,0.03213141025641022,-0.28300169861684055,-0.19457294328428354,-0.02019654354456115,-0.2758699633699634,-0.5463348488966864
2019-11,-0.134295936621518,-0.00014420192884501598,-0.11603237615289526,-0.1530904022823043,0.10713141025641022,-0.19782819703955348,-0.13691734954621557,-0.028126058963063354,-0.14491758241758243,-0.5463348488966864
2019-12,-0.1841298236647074,-0.09612500576807717,-0.2618914614433773,-0.2483609024524302,-0.06370192307692311,-0.21360106770201404,-0.3037749287749288,-0.2404608607251779,-0.31952075702075705,-0.5463348488966864
2019-13,-0.22604140046000512,-0.07452932490424993,-0.37684819815536746,-0.24291687387128016,0.07796474358974355,-0.20729191943702982,-0.25681043851146945,-0.23957980345645544,-0.22825091575091577,-0.5463348488966864
2019-14,-0.23524150268336314,-0.12251972682386601,-0.3088630312826851,-0.23679234171748634,0.13629807692307688,-0.23883766076195095,-0.15180852938584902,-0.07041680786174177,-0.25602869352869356,-0.5463348488966864
2019-15,-0.278175313059034,-0.06853052466429793,-0.18834387182656645,-0.2980376632554244,0.16129807692307688,-0.23252851249696674,0.10325065350838543,-0.08010843781768891,-0.41872710622710624,-0.5463348488966864
